email_id,relative_path,actual_label,pretraining_probability,posttraining_probability,pretraining_label,posttraining_label,notes,pretraining_description,posttraining_description
phishing_020,phishing/phishing_020.html,1,0.450000,0.766316,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, beneficiary, confidential, fund | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, beneficiary, confidential, fund | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_021,phishing/phishing_021.html,1,0.450000,0.529512,legitimate,legitimate,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, million, security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, million, security, transaction | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_022,phishing/phishing_022.html,1,0.450000,0.767648,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, confidential, million, next of kin, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, confidential, million, next of kin, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_023,phishing/phishing_023.html,1,0.450000,0.691166,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, investment, million, security, transfer | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, investment, million, security, transfer | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_024,phishing/phishing_024.html,1,0.300000,0.810628,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: million, next of kin, security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: million, next of kin, security, transaction | Heuristic pattern match: money-transfer / inheritance wording"
phishing_025,phishing/phishing_025.html,1,0.450000,0.708885,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, million, next of kin, security | Heuristic pattern match: advance-fee scam wording","Heuristic keyword match: assist, bank, million, next of kin, security | Heuristic pattern match: advance-fee scam wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_026,phishing/phishing_026.html,1,0.450000,0.770912,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, confidential, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, confidential, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_027,phishing/phishing_027.html,1,0.450000,0.860630,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, confirm, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, confirm, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_028,phishing/phishing_028.html,1,0.000000,0.657036,legitimate,phishing,,Pretraining heuristic-only scan; no trained model was used.,Marked phishing without specific flags returned.
phishing_029,phishing/phishing_029.html,1,0.300000,0.804313,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: investment, security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: investment, security, transaction | Heuristic pattern match: money-transfer / inheritance wording"
phishing_030,phishing/phishing_030.html,1,0.450000,0.767934,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, confidential, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, confidential, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_031,phishing/phishing_031.html,1,0.450000,0.703565,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_032,phishing/phishing_032.html,1,0.450000,0.557740,legitimate,legitimate,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, beneficiary, fund, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, beneficiary, fund, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_033,phishing/phishing_033.html,1,0.450000,0.765567,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, beneficiary, investment, security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, beneficiary, investment, security, transaction | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_034,phishing/phishing_034.html,1,0.450000,0.660712,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: confidential, investment, security, usd | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: confidential, investment, security, usd | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_035,phishing/phishing_035.html,1,0.450000,0.676826,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: beneficiary, confidential, security, transaction, transfer | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: beneficiary, confidential, security, transaction, transfer | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_036,phishing/phishing_036.html,1,0.300000,0.702921,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: beneficiary, investment, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: beneficiary, investment, million, security | Heuristic pattern match: money-transfer / inheritance wording"
phishing_037,phishing/phishing_037.html,1,0.450000,0.775647,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: security, transaction | Heuristic pattern match: money-transfer / inheritance wording | Message asks for direct reply to external email address"
phishing_038,phishing/phishing_038.html,1,0.450000,0.846860,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_039,phishing/phishing_039.html,1,0.450000,0.785153,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, fund, million, next of kin | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, fund, million, next of kin | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_040,phishing/phishing_040.html,1,0.300000,0.694220,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording"
phishing_041,phishing/phishing_041.html,1,0.450000,0.650439,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, beneficiary, confidential, fund, investment | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, beneficiary, confidential, fund, investment | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_042,phishing/phishing_042.html,1,0.450000,0.862620,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_043,phishing/phishing_043.html,1,0.450000,0.593425,legitimate,legitimate,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, beneficiary, confirm, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, beneficiary, confirm, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_044,phishing/phishing_044.html,1,0.450000,0.625012,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, beneficiary, next of kin, security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, beneficiary, next of kin, security, transaction | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_045,phishing/phishing_045.html,1,0.450000,0.793454,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_046,phishing/phishing_046.html,1,0.450000,0.717286,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, fund, investment, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, fund, investment, million, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_047,phishing/phishing_047.html,1,0.450000,0.821509,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, fund, million, next of kin, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, fund, million, next of kin, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_048,phishing/phishing_048.html,1,0.450000,0.757839,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, beneficiary, confidential, fund | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, beneficiary, confidential, fund | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_049,phishing/phishing_049.html,1,0.300000,0.737911,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: fund, million, security, usd | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: fund, million, security, usd | Heuristic pattern match: money-transfer / inheritance wording"
phishing_050,phishing/phishing_050.html,1,0.450000,0.707915,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: investment, million, security, transaction, usd | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: investment, million, security, transaction, usd | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_051,phishing/phishing_051.html,1,0.450000,0.696446,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, confirm, million, security, transaction | Heuristic pattern match: urgency / pressure wording","Heuristic keyword match: assist, confirm, million, security, transaction | Heuristic pattern match: urgency / pressure wording | Heuristic pattern match: advance-fee scam wording"
phishing_052,phishing/phishing_052.html,1,0.450000,0.664203,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, beneficiary, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, beneficiary, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_053,phishing/phishing_053.html,1,0.450000,0.818652,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, fund, million, security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, fund, million, security, transaction | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_054,phishing/phishing_054.html,1,0.450000,0.776856,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: security, transaction | Heuristic pattern match: money-transfer / inheritance wording | Message asks for direct reply to external email address"
phishing_055,phishing/phishing_055.html,1,0.300000,0.871773,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: fund, investment, million, security, transfer | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: fund, investment, million, security, transfer | Heuristic pattern match: money-transfer / inheritance wording"
phishing_056,phishing/phishing_056.html,1,0.300000,0.783962,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, beneficiary, confirm, fund, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, beneficiary, confirm, fund, million | Heuristic pattern match: money-transfer / inheritance wording"
phishing_057,phishing/phishing_057.html,1,0.450000,0.600700,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, fund, inheritance, million, next of kin | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, fund, inheritance, million, next of kin | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_058,phishing/phishing_058.html,1,0.450000,0.650182,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, beneficiary, confidential, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, beneficiary, confidential, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_059,phishing/phishing_059.html,1,0.450000,0.718876,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: beneficiary, fund, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: beneficiary, fund, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_060,phishing/phishing_060.html,1,0.450000,0.767645,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, confidential, investment, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, confidential, investment, million, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_061,phishing/phishing_061.html,1,0.450000,0.789892,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, million, security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, million, security, transaction | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_062,phishing/phishing_062.html,1,0.450000,0.813144,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, beneficiary, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, beneficiary, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_063,phishing/phishing_063.html,1,0.150000,0.697354,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, investment, security","Heuristic keyword match: bank, investment, security"
phishing_064,phishing/phishing_064.html,1,0.450000,0.700412,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, million, next of kin, security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, million, next of kin, security, transaction | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_065,phishing/phishing_065.html,1,0.450000,0.784052,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, fund, investment, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, fund, investment, million, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_066,phishing/phishing_066.html,1,0.450000,0.823434,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, investment, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, investment, million, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_067,phishing/phishing_067.html,1,0.450000,0.864895,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, confidential, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, confidential, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_068,phishing/phishing_068.html,1,0.450000,0.588295,legitimate,legitimate,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, inheritance, security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, inheritance, security, transaction | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_069,phishing/phishing_069.html,1,0.450000,0.810537,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, confidential, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, confidential, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_070,phishing/phishing_070.html,1,0.450000,0.722742,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, fund, investment, next of kin, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, fund, investment, next of kin, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_071,phishing/phishing_071.html,1,0.450000,0.767764,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, confidential, confirm, fund, inheritance | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, confidential, confirm, fund, inheritance | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_072,phishing/phishing_072.html,1,0.450000,0.634301,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, confidential, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, confidential, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_073,phishing/phishing_073.html,1,0.450000,0.802766,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, confidential, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, confidential, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: advance-fee scam wording"
phishing_074,phishing/phishing_074.html,1,0.450000,0.776711,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, inheritance, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, inheritance, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_075,phishing/phishing_075.html,1,0.450000,0.814486,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, confidential, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, confidential, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_076,phishing/phishing_076.html,1,0.450000,0.735685,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, beneficiary, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, beneficiary, confidential, fund, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: urgency / pressure wording"
phishing_077,phishing/phishing_077.html,1,0.450000,0.835126,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: bank, beneficiary, million, security, transaction | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: bank, beneficiary, million, security, transaction | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_078,phishing/phishing_078.html,1,0.450000,0.874860,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, fund, investment, million | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
phishing_079,phishing/phishing_079.html,1,0.450000,0.687191,legitimate,phishing,,"Pretraining heuristic-only scan; no trained model was used. | Heuristic keyword match: assist, bank, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording","Heuristic keyword match: assist, bank, fund, million, security | Heuristic pattern match: money-transfer / inheritance wording | Heuristic pattern match: multiple contact email addresses in the message"
